50;7
9;7
52;12
30;5
38;11
41;8
48;7
35;9
13;7
6;12
24;4
17;8
45;3
53;11
37;11
23;8
50;3
35;5
15;7
21;13
31;7
7;12
39;11
24;4
15;6
24;11
14;3
12;5
42;12
7;3
52;11
52;11
14;3
46;6
50;6
11;8
30;11
16;6
25;10
53;3
52;7
51;12
49;12
10;11
15;10
5;4
53;9
28;13
24;11
50;13
15;9
35;13
17;8
34;7
53;12
9;5
7;7
48;9
29;7
14;6
11;11
21;3
40;3
16;3
53;12
6;6
16;5
44;11
13;7
42;7
36;3
26;4
46;4
47;9
39;11
6;11
27;4
10;10
29;10
11;13
41;8
22;10
10;11
42;7
52;5
15;11
46;4
19;5
39;7
29;6
15;12
12;5
34;5
24;10
15;13
15;5
46;4
47;13
5;11
31;8
11;10
48;5
31;13
40;10
14;11
27;5
43;11
52;10
36;10
18;12
32;12
25;5
7;13
16;12
43;13
40;5
26;3
23;5
49;9
33;10
18;7
53;12
12;3
51;5
19;4
17;8
28;6
11;11
31;9
49;11
37;4
38;9
10;11
24;6
26;4
44;9
53;10
18;13
49;12
17;12
33;7
40;11
5;11
8;8
4;7
36;6
10;12
35;5
21;12
34;8
7;4
5;7
10;12
33;11
28;4
21;13
10;8
7;7
39;12
43;4
10;6
6;12
39;10
15;7
49;7
31;10
5;4
24;6
47;4
28;4
26;12
53;6
18;3
34;7
50;9
4;4
16;5
46;8
47;9
34;4
43;11
12;9
36;10
29;13
22;12
8;8
9;9
14;5
46;10
42;13
27;13
48;12
40;6
17;5
18;7
40;4
41;5
53;11
27;8
14;13
21;8
31;8
36;13
35;8
47;5
9;9
15;3
15;13
21;8
6;8
3;9
27;6
44;9
17;8
21;9
10;10
49;12
11;5
19;12
16;10
39;3
33;3
11;4
39;11
8;9
37;11
34;5
4;13
8;10
50;10
10;13
27;9
47;7
28;11
42;4
11;9
35;3
13;11
14;6
53;4
33;7
34;11
9;7
12;7
24;6
48;4
43;7
36;10
13;8
16;5
33;11
24;5
45;11
26;7
16;3
6;5
24;6
16;5
23;9
26;10
38;11
39;6
50;12
48;10
19;5
9;5
32;6
23;4
49;3
8;12
44;10
20;5
39;13
41;10
8;8
49;11
21;5
49;4
35;13
16;10
52;5
35;7
17;12
50;5
25;10
4;13
41;12
53;3
44;11
36;11
42;7
39;13
35;7
17;13
14;10
3;8
4;10
20;8
46;6
43;4
14;4
5;9
6;7
42;12
21;9
29;10
42;10
16;9
11;11
8;13
12;9
8;3
10;7
28;3
39;7
32;9
19;4
13;11
35;7
30;5
7;10
25;6
11;7
47;8
44;3
25;3
37;13
22;10
52;10
20;8
13;4
28;6
38;10
49;8
51;11
3;4
20;10
19;8
16;13
40;9
53;12
45;4
24;4
48;9
49;9
22;13
20;3
46;13
16;8
10;10
39;13
13;10
15;10
24;12
10;3
28;10
47;13
18;11
46;12
8;4
5;12
17;3
51;4
48;11
40;5
31;7
37;7
32;9
40;11
18;12
19;8
7;4
33;11
46;7
42;5
52;5
44;12
37;9
31;4
51;10
15;9
41;8
10;5
19;7
38;3
52;8
8;6
51;9
29;4
44;10
28;4
27;9
5;11
48;12
17;3
20;4
33;11
52;7
26;3
29;3
44;7
24;3
22;9
39;6
49;7
24;11
23;3
34;8
22;13
11;12
33;6
50;12
48;5
17;10
53;3
34;4
4;6
21;8
38;4
8;11
17;5
38;11
42;4
49;4
6;9
38;12
37;5
27;13
6;6
36;9
18;10
11;6
23;5
21;5
41;11
40;12
51;3
27;8
18;6
6;12
30;4
46;12
36;13
40;11
46;3
44;3
10;5
20;13
42;10
32;4
40;5
52;5
16;3
19;3
38;10
12;12
22;11
6;12
7;12
4;12
24;13
11;8
17;6
23;12
5;8
44;6
36;13
43;13
15;6
39;4
31;5
30;3
13;11
33;4
13;7
39;10
38;9
48;13
17;6
49;4
38;4
38;3
8;13
34;3
9;6
39;3
39;11
13;4
51;8
29;9
31;12
3;8
34;11
39;7
28;11
50;6
22;3
51;3
48;3
49;13
